Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
14700316,Instituto de Educación Secundaria,La Jara,Público,"C/ Navaluenga, s/n",14440,Villanueva de Córdoba,Córdoba,229 km,2h 34 min
41011041,Instituto de Educación Secundaria,Federico Mayor Zaragoza,Público,"C/ Camino del Silo, 4",41012,Sevilla,Sevilla,256 km,2h 34 min
41701687,Instituto de Educación Secundaria,Félix Rodríguez de la Fuente,Público,"C/ Mar Tirreno, s/n",41015,Sevilla,Sevilla,253 km,2h 34 min
41700415,Instituto de Educación Secundaria,Ciudad Jardín,Público,"C/ Canal, s/n",41005,Sevilla,Sevilla,252 km,2h 35 min
41700427,Instituto de Educación Secundaria,Azahar,Público,"Avda. Alcalde Manuel del Valle, 69",41008,Sevilla,Sevilla,254 km,2h 35 min
41009071,Instituto de Educación Secundaria,Antonio Machado,Público,"C/ Arroyo, 80",41008,Sevilla,Sevilla,253 km,2h 36 min
41009858,Instituto de Educación Secundaria,Albert Einstein,Público,"C/ Salineros, s/n",41008,Sevilla,Sevilla,254 km,2h 36 min
41009871,Instituto de Educación Secundaria,Beatriz de Suabia,Público,"C/ Beatriz de Suabia, s/n",41005,Sevilla,Sevilla,251 km,2h 36 min
41700117,Instituto de Educación Secundaria,Llanes,Público,"C/ Escultor Francisco Buiza, s/n",41008,Sevilla,Sevilla,253 km,2h 36 min
41700178,Instituto de Educación Secundaria,Punta del Verde,Público,"C/ Barrionuevo, 4",41012,Sevilla,Sevilla,257 km,2h 36 min
23700323,Instituto de Educación Secundaria,Doctor Francisco Marín,Público,"Ctra. de la Puerta, 49",23380,Siles,Jaén,243 km,2h 37 min
41006951,Instituto de Educación Secundaria,Luca de Tena,Público,"C/ Pirineos, 17",41005,Sevilla,Sevilla,252 km,2h 37 min
41010769,Instituto de Educación Secundaria,Nervión,Público,"C/ Profesor Buenaventura Pinillos, s/n",41005,Sevilla,Sevilla,252 km,2h 37 min
41011038,Instituto de Educación Secundaria,Gonzalo Nazareno,Público,"C/ Las Botijas, 10",41702,Dos Hermanas,Sevilla,254 km,2h 37 min
41700038,Instituto de Educación Secundaria,Macarena,Público,"C/ Doctor José Manuel Puelles de los Santos, s/n",41009,Sevilla,Sevilla,255 km,2h 37 min
41700403,Instituto de Educación Secundaria,Isbilya,Público,"C/ Esperanza de la Trinidad, 7",41003,Sevilla,Sevilla,252 km,2h 38 min
41006936,Instituto de Educación Secundaria,Murillo,Público,"C/ José Recuerda Rubio, s/n",41018,Sevilla,Sevilla,252 km,2h 39 min
41008532,Instituto de Educación Secundaria,San Pablo,Público,"Avda. Éfeso, s/n",41007,Sevilla,Sevilla,252 km,2h 39 min
11000711,Instituto de Educación Secundaria,Alminares,Público,"Avda. de la Constitución, s/n",11630,Arcos de la Frontera,Cádiz,223 km,2h 40 min
41011117,Instituto de Educación Secundaria,Miguel de Cervantes,Público,"C/ Manzana, s/n",41009,Sevilla,Sevilla,256 km,2h 40 min
